2,M,4
0,M,3
0,M,2
0,M,1
0,M,0
3,S,4
0,S,0
1,S,1
0,S,3
1,L,2
1,S,1
0,S,3
1,S,4
0,S,0
2,M,4
0,M,3
0,M,2
0,M,1
0,M,0
3,S,4
0,S,0
1,S,1
0,S,3
1,L,2
1,S,1
0,S,3
1,S,4
0,S,0
2,M,4
0,M,3
0,M,2
0,M,1
0,M,0
3,S,4
0,S,0
1,S,1
0,S,3
1,L,2
1,S,1
0,S,3
1,S,4
0,S,0
2,M,4
0,M,3
0,M,2
0,M,1
0,M,0
3,S,4
0,S,0
1,S,1
0,S,3
1,L,2
1,S,1
0,S,3
1,S,4
0,S,0
2,M,4
0,M,3
0,M,2
0,M,1
0,M,0
3,S,4
0,S,0
1,S,1
0,S,3
1,L,2
1,S,1
0,S,3
1,S,4
0,S,0
2,M,4
0,M,3
0,M,2
0,M,1
0,M,0
3,S,4
0,S,0
1,S,1
0,S,3
1,L,2
1,S,1
0,S,3
1,S,4
0,S,0
2,M,4
0,M,3
0,M,2
0,M,1
0,M,0
3,S,4
0,S,0
1,S,1
0,S,3
1,L,2
1,S,1
0,S,3
1,S,4
0,S,0
2,M,4
0,M,3
0,M,2
0,M,1
3,S,4
0,S,0
1,S,1
0,S,3
1,L,2
1,S,1
0,S,3
1,S,4
0,S,0
2,M,4
0,M,3
0,M,2
0,M,1
3,S,4
0,S,0
1,S,1
0,S,3
1,L,2
1,S,1
0,S,3
1,S,4
0,S,0
2,M,4
0,M,3
0,M,2
0,M,1
0,M,0
3,S,4
0,S,0
1,S,1
0,S,3
1,L,2
1,S,1
0,S,3
1,S,4
0,S,0
2,M,4
0,M,3
0,M,2
0,M,1
0,M,0
3,S,4
0,S,0
1,S,1
0,S,3
1,L,2
1,S,1
0,S,3
1,S,4
0,S,0
2,M,4
0,M,3
0,M,2
0,M,1
0,M,0
3,S,4
0,S,0
1,S,1
0,S,3
1,L,2
1,S,1
0,S,3
1,S,4
0,S,0
2,M,4
0,M,3
0,M,2
0,M,1
0,M,0
3,S,4
0,S,0
1,S,1
0,S,3
1,L,2
1,S,1
0,S,3
1,S,4
0,S,0
2,M,4
0,M,3
0,M,2
0,M,1
0,M,0
3,S,4
0,S,0
1,S,1
0,S,3
1,L,2
1,S,1
0,S,3
1,S,4
0,S,0
2,M,4
0,M,3
0,M,2
0,M,1
3,S,4
0,S,0
1,S,1
0,S,3
1,L,2
1,S,1
0,S,3
1,S,4
0,S,0
2,M,4
0,M,3
0,M,2
0,M,1
3,S,4
0,S,0
1,S,1
0,S,3
1,L,2
1,S,1
0,S,3
1,S,4
0,S,0
2,M,4
0,M,3
0,M,2
0,M,1
0,M,0
3,S,4
0,S,0
1,S,1
0,S,3
1,L,2
1,S,1
0,S,3
1,S,4
0,S,0
2,M,4
0,M,3
0,M,2
0,M,1
3,S,4
0,S,0
1,S,1
0,S,3
1,L,2
1,S,1
0,S,3
1,S,4
0,S,0
2,M,4
0,M,3
0,M,2
0,M,1
0,M,0
3,S,4
0,S,0
1,S,1
0,S,3
1,L,2
1,S,1
0,S,3
1,S,4
0,S,0
2,M,4
0,M,3
0,M,2
0,M,1
0,M,0
3,S,4
0,S,0
1,S,1
0,S,3
1,L,2
1,S,1
0,S,3
1,S,4
0,S,0
2,M,4
0,M,3
0,M,2
0,M,1
0,M,0
3,S,4
0,S,0
1,S,1
0,S,3
1,L,2
1,S,1
0,S,3
1,S,4
0,S,0
2,M,4
0,M,3
0,M,2
0,M,1
0,M,0
3,S,4
0,S,0
1,S,1
0,S,3
1,L,2
1,S,1
0,S,3
1,S,4
0,S,0
2,M,4
0,M,3
0,M,2
0,M,1
0,M,0
3,S,4
0,S,0
1,S,1
0,S,3
1,L,2
1,S,1
0,S,3
1,S,4
0,S,0
2,M,4
0,M,3
0,M,2
0,M,1
0,M,0
